archive_id,proposal_number,title,status,chain,created_at,executed_spend_usd,vote_count,voting_power,cost_per_vote_usd,cost_per_voting_power_usd,source_url
snapshot-0x6100932649facab93f27106b0f8bf28194edb952e5c0866b9c297b850d72cedb,,[Prop 30] - Skatehive's Decentralized Sponsorship Proposal To Gnars DAO,closed,snapshot,2022-11-28T21:38:25Z,3881.85,30,616.0,129.4,6.301705,https://v1.snapshot.box/#/gnars.eth/proposal/0x6100932649facab93f27106b0f8bf28194edb952e5c0866b9c297b850d72cedb
snapshot-0x6221129699a3f7fa29e9dc736c78a38cf646a48bc75b4a2e1401fc9cec0f7cda,,Send gnars.eth 0.1 ETH as test proposal,closed,snapshot,2022-03-29T06:07:34Z,345.12,15,101.0,23.01,3.41703,https://v1.snapshot.box/#/gnars.eth/proposal/0x6221129699a3f7fa29e9dc736c78a38cf646a48bc75b4a2e1401fc9cec0f7cda
snapshot-0x70526f9ba5616545ed8de674349307f6a6d671c7f9365552f457598026801d1a,,[Prop 32] Creating of Gnarsauce Hot Sauce product,closed,snapshot,2022-12-04T20:41:14Z,884.03,26,829.0,34.0,1.066387,https://v1.snapshot.box/#/gnars.eth/proposal/0x70526f9ba5616545ed8de674349307f6a6d671c7f9365552f457598026801d1a
snapshot-0x7584dfef4e843deaddf4eba549713db9fac03438486925205570998707113dad,,Start the Gnars Revolution - #thatsgnarly,closed,snapshot,2023-01-11T05:44:29Z,10.7,32,630.0,0.33,0.016991,https://v1.snapshot.box/#/gnars.eth/proposal/0x7584dfef4e843deaddf4eba549713db9fac03438486925205570998707113dad
snapshot-0x75de871dc2cdfb52513789573ba4f5cd27b663122b27de157ae100593d8b916c,,That's Gnarly Gas Costs + Gas refund for Gami & Rocketman + Gnarly Trivia Prizes,closed,snapshot,2023-02-22T18:58:52Z,2788.99,20,530.0,139.45,5.262238,https://v1.snapshot.box/#/gnars.eth/proposal/0x75de871dc2cdfb52513789573ba4f5cd27b663122b27de157ae100593d8b916c
snapshot-0x781c3062dce32c2ae1b29ad80bc95c37175c67c43ed086b196b20104669177bc,," [Prop. 35] Sponsor Mari Nioac with 3.6969 ETH (surfing, paragliding and skiing)",closed,snapshot,2022-12-22T00:38:47Z,1226.25,21,550.0,58.39,2.229545,https://v1.snapshot.box/#/gnars.eth/proposal/0x781c3062dce32c2ae1b29ad80bc95c37175c67c43ed086b196b20104669177bc
snapshot-0x78476546b12ebbc53d842edf6e3987431b0f8ab7ed0fcbc707d0328e98edc0c6,,PROPOSAL FOR FUNDING THE DEVELOPMENT OF A CHILDREN'S BOOK CALLED: **THE INCREDIBLE BOOK OF TRICKS**,closed,snapshot,2023-04-15T20:16:38Z,2904.64,22,489.0,132.03,5.939969,https://v1.snapshot.box/#/gnars.eth/proposal/0x78476546b12ebbc53d842edf6e3987431b0f8ab7ed0fcbc707d0328e98edc0c6
snapshot-0x8258faa7a47a97aabc63f1e3a566a5ed027388b1822372c93ceb1d7589ae5f7e,,Sponsor Kevin Kowalski (skateboarding) with 3 ETH,closed,snapshot,2022-07-26T00:43:12Z,5046.03,21,506.0,240.29,9.972391,https://v1.snapshot.box/#/gnars.eth/proposal/0x8258faa7a47a97aabc63f1e3a566a5ed027388b1822372c93ceb1d7589ae5f7e
snapshot-0x8262bdb00439e0820c588c334bfda1c44022d227347d343b733f3127fd713a74,,Sponsor Rickyday Surftrip in Indonesia w/ 0.43 ETH to make Gnars Surf Content,closed,snapshot,2023-02-17T06:13:29Z,712.33,17,444.0,41.9,1.604345,https://v1.snapshot.box/#/gnars.eth/proposal/0x8262bdb00439e0820c588c334bfda1c44022d227347d343b733f3127fd713a74
snapshot-0x872bfadf89dee5dcea47992b94ebff05bd24dcf9a02d3e5daac50b2ff48eb90b,,"""Pixel 189"" - a Gnars Pixelord Commission worth 0.69ETH + Droposal",closed,snapshot,2023-06-05T11:50:46Z,1269.05,11,463.0,115.37,2.740939,https://v1.snapshot.box/#/gnars.eth/proposal/0x872bfadf89dee5dcea47992b94ebff05bd24dcf9a02d3e5daac50b2ff48eb90b
snapshot-0x8907d4c2392d670589d35a1deeaed0de70fb72260ccb3e3ad14d6c41119da829,,Scale Up Gnars Jam Sessions Podcast with 3.069 ETH for 3 Months,closed,snapshot,2022-11-07T16:28:20Z,3881.73,20,398.0,194.09,9.75309,https://v1.snapshot.box/#/gnars.eth/proposal/0x8907d4c2392d670589d35a1deeaed0de70fb72260ccb3e3ad14d6c41119da829
snapshot-0x9a6674c83620376227957cafa52a1047dedb28ac6b39c2a6fa60435df83b13c5,,Commission 0xaprilia with 1.5 ETH for gnarniversary Feb. 15th Droposal,closed,snapshot,2023-02-09T07:08:58Z,2260.38,10,492.0,226.04,4.594268,https://v1.snapshot.box/#/gnars.eth/proposal/0x9a6674c83620376227957cafa52a1047dedb28ac6b39c2a6fa60435df83b13c5
snapshot-0x9d63add3de1dd0868f7b4414b9de375e5fc58c3800270ee1a08c819c9b3393ad,,Sponsor Kate Wulfekuhle with 1 ETH,closed,snapshot,2022-10-03T18:39:52Z,1324.89,38,622.0,34.87,2.130048,https://v1.snapshot.box/#/gnars.eth/proposal/0x9d63add3de1dd0868f7b4414b9de375e5fc58c3800270ee1a08c819c9b3393ad
snapshot-0x9df0af9d78f6d6315afdcb58df19fc5f61641a75721227d6c4aaa236676d4daf,,Sponsor Lucas Rocha (Bodyboarding) with 3 ETH,closed,snapshot,2022-12-12T22:18:32Z,3497.91,28,771.0,124.93,4.536848,https://v1.snapshot.box/#/gnars.eth/proposal/0x9df0af9d78f6d6315afdcb58df19fc5f61641a75721227d6c4aaa236676d4daf
snapshot-0x9e670758685c096b923e0b9fa65e2e9cd44906983ea78fe73d750d77be7c568c,,Surfguru educational campaign to onboard holders into GnarsDAO [1ETH for 3 months],closed,snapshot,2023-05-04T03:48:29Z,1849.29,23,451.0,80.4,4.100421,https://v1.snapshot.box/#/gnars.eth/proposal/0x9e670758685c096b923e0b9fa65e2e9cd44906983ea78fe73d750d77be7c568c
snapshot-0xa79e84b9c92ae1a329bc546d237972fcbe12143d41d4f82d927e2f7d013b0e97,,Sponsor Elisa (paragliding) with 1 ETH to become an official sponsored athlete,closed,snapshot,2023-03-29T15:34:24Z,1797.74,21,500.0,85.61,3.59548,https://v1.snapshot.box/#/gnars.eth/proposal/0xa79e84b9c92ae1a329bc546d237972fcbe12143d41d4f82d927e2f7d013b0e97
snapshot-0xa9ec7b490d8a3120943e069c5458703d57a7eed48eb9d11ce892a864cb5c2fe5,,Migrate SEO content from art.haus to gnars.com,closed,snapshot,2022-09-06T05:56:12Z,65168.84,21,530.0,3103.28,122.960075,https://v1.snapshot.box/#/gnars.eth/proposal/0xa9ec7b490d8a3120943e069c5458703d57a7eed48eb9d11ce892a864cb5c2fe5
snapshot-0xb30fc7e82ffd81902641f4cd2c15a4604d149645cc057b49ababd99ad8346379,,Vlad's Renew Proposal (1/4),closed,snapshot,2023-03-19T02:34:10Z,1824.96,39,510.0,46.79,3.578353,https://v1.snapshot.box/#/gnars.eth/proposal/0xb30fc7e82ffd81902641f4cd2c15a4604d149645cc057b49ababd99ad8346379
snapshot-0xb55ab5a77a14604fd5d4a5d67e00f828fcd6f90ef86e2687276d1973f9b40df5,,Sponsor Dave Bachinsky (skateboarding) with 3 ETH,closed,snapshot,2022-07-26T00:37:30Z,5046.03,21,506.0,240.29,9.972391,https://v1.snapshot.box/#/gnars.eth/proposal/0xb55ab5a77a14604fd5d4a5d67e00f828fcd6f90ef86e2687276d1973f9b40df5
snapshot-0xb63306dbfe950dd9754d5edcf8f48c6ff9bdd32eeeff4c644cb90c974a3055fa,,Sponsor I ⌐◨-◨ <3 XV event ,closed,snapshot,2022-10-18T02:22:24Z,3941.31,46,775.0,85.68,5.085561,https://v1.snapshot.box/#/gnars.eth/proposal/0xb63306dbfe950dd9754d5edcf8f48c6ff9bdd32eeeff4c644cb90c974a3055fa
snapshot-0xb6f1781ada377924f11500e81735dd60170984c7976a1267027b3bd67fca93f1,,Enhance Nounified Skate Park RIO with an extra 1.5 ETH,closed,snapshot,2022-08-18T10:03:53Z,2498.68,25,388.0,99.95,6.43991,https://v1.snapshot.box/#/gnars.eth/proposal/0xb6f1781ada377924f11500e81735dd60170984c7976a1267027b3bd67fca93f1
snapshot-0xb98dbe42c7fee10c45eee0624cfe0ee852e4d7757eacf016d07bcb39b48e5d84,,Small funding for Gnars Jam Session Retweet Pickers,closed,snapshot,2023-02-16T23:51:30Z,2346.28,11,418.0,213.3,5.6131,https://v1.snapshot.box/#/gnars.eth/proposal/0xb98dbe42c7fee10c45eee0624cfe0ee852e4d7757eacf016d07bcb39b48e5d84
snapshot-0xbafd024d57b8750da24ba3d43dc90a5b35aceacf5077cfb8a7e1b2e8e1f97894,,China Banks Crail - First edition minted by Gnars,closed,snapshot,2023-01-05T12:37:33Z,19.83,24,636.0,0.83,0.031172,https://v1.snapshot.box/#/gnars.eth/proposal/0xbafd024d57b8750da24ba3d43dc90a5b35aceacf5077cfb8a7e1b2e8e1f97894
